Length of Username,Country Block_1,Country Block_2,Number of Followers,Number of Posts,Number of Mutual Followers,Percentage of Following,Is Business Account,Class,Sex,Is Joined Recently,Is Verified,Is Private,Is Professional Account,Length of Biography,Number of Video Posts,Mean Post Likes
0.5716139,0,0,0.342117612,0.616870682,0.41885746,0.758516887,0,0,0,1,1,0,0,-36.37787382,21.35166482,3.991709083
0.402271364,0,0,0.3732132,0.574700854,0.546779111,0.749581965,0,1,1,1,0,0,0,88.44975005,-37.42694753,-46.27587555
0.485398065,0,0,0.411632232,0.657099764,0.52963726,0.793919196,1,1,1,1,0,1,0,-21.73098801,24.39487365,82.67990914
0.465359131,0,0,0.432781449,0.573072211,0.352555233,0.823565357,1,1,1,1,0,0,0,0.127094737,4.760497339,-96.3342039
0.442205286,0,0,0.392622186,0.649627739,0.425873118,0.866499386,0,1,1,1,0,1,0,103.0788317,12.34801853,61.51567017
0.461352404,0,0,0.426353628,0.6230585,0.412733897,0.858409111,1,0,0,1,0,1,0,73.31243252,40.36746105,5.537709268
0.695879359,0,0,0.315936405,0.843842617,0.381265316,0.772012759,1,0,0,1,1,0,1,28.11584493,-9.53960338,53.85005645
0.483219711,0,0,0.428453129,0.703559209,0.472450227,0.755441034,0,0,0,1,0,0,0,147.3926357,10.71670834,80.42906672
0.398127939,0,0,0.318027046,0.524324455,0.411408525,0.831175294,0,1,1,1,0,1,1,49.12234094,28.69662523,212.7035729
0.436194179,0,0,0.420783506,0.804211118,0.350881743,0.75722605,1,0,0,1,0,0,0,58.21340726,-1.465213528,33.23168078
0.580307232,0,0,0.210776923,0.607806385,0.416273844,0.844916676,0,0,0,1,1,0,0,103.6105937,3.532548268,65.74615664
0.404362566,0,0,0.340262174,0.718790357,0.530683892,0.843039105,0,1,1,0,0,0,1,7.304533453,12.64269944,60.98197391
0.395173793,0,0,0.339761558,0.644557594,0.507026178,0.723682483,1,1,1,1,0,1,1,54.97991189,16.8189873,-6.549733105
0.534532985,0,0,0.247910965,0.639532194,0.518516398,0.78340577,1,0,0,0,0,0,1,6.193579373,36.33590358,-11.74568622
0.562742643,0,0,0.317550257,0.67519486,0.188154125,0.75762707,0,1,1,1,0,1,0,48.56884234,1.755254466,-111.8955384
0.399219212,0,0,0.385820529,0.819633028,0.524255285,0.733558585,0,0,0,1,0,1,1,-11.19014724,7.090481677,14.40928686
0.52666935,0,0,0.252175119,0.53594164,0.466263136,0.782847385,0,1,1,0,0,0,1,29.10669204,55.00028597,71.79964132
0.381213731,0,0,0.301682066,0.583445091,0.541620562,0.78273812,0,0,0,1,1,0,0,59.16213505,11.61826216,26.46829806
0.44715433,0,0,0.318025652,0.597893376,0.433750723,0.758189934,0,0,0,1,0,0,0,54.07605237,-18.9713125,48.33062352
0.405424741,0,0,0.449930662,0.829008884,0.395081887,0.786940781,0,1,1,0,0,0,1,51.84533609,-21.92777471,64.38661526
0.374563988,0,0,0.307068008,0.575523043,0.522992185,0.818622576,1,0,0,1,1,1,0,-65.13573123,31.15504586,8.16665361
0.527254995,0,0,0.295904616,0.590635553,0.456570254,0.81142629,0,0,0,1,1,1,1,4.769431185,22.65030268,72.33871784
0.389671324,0,0,0.303181981,0.590552935,0.484764143,0.771683564,0,0,1,1,0,1,1,180.120994,10.56552348,40.10169596
0.373512812,0,0,0.394625493,0.530492027,0.485750045,0.797761516,1,1,1,0,0,1,0,47.39670752,37.39412443,-106.1036139
0.690326042,0,0,0.29675633,0.57173388,0.351761854,0.788153125,0,1,1,0,0,1,1,-45.81965514,-4.279894182,63.68672848
0.559588409,0,0,0.444066689,0.619571121,0.503798398,0.793662285,0,1,1,0,0,0,1,-17.39705855,36.18325782,-90.18258007
0.627676329,0,0,0.397326096,0.547749085,0.499664518,0.844229743,0,1,1,1,0,1,0,-84.7157288,-33.97279334,-93.14352761
0.607088344,0,0,0.293243985,0.665496781,0.485247348,0.833088842,0,0,0,0,1,1,0,-116.9114942,13.5368685,86.59892878
0.444129104,0,0,0.28860802,0.530413232,0.535117732,0.869214573,1,1,1,0,0,1,0,-48.86514248,-33.68057091,-229.2479332
0.572740226,0,0,0.398565318,0.521527972,0.512725957,0.791118811,0,1,1,1,0,0,1,-14.44795671,73.31726548,-111.3825902
0.551133428,0,0,0.445300806,0.677414508,0.380911829,0.736619596,0,0,0,1,1,0,0,80.77878614,-8.66933104,45.22361667
0.472879732,0,0,0.436902057,0.524904851,0.511305885,0.776422622,1,1,1,0,0,0,1,11.02909747,4.79224212,47.09771905
0.384691494,0,0,0.432495043,0.680484492,0.522436775,0.805894054,1,1,1,1,0,1,0,34.45544123,-2.466031928,-54.35913602
0.563147211,0,0,0.410936439,0.726859625,0.469230266,0.831984215,0,0,0,1,1,0,0,-36.43407621,-2.27444383,36.45194271
0.801847898,0,0,0.36318191,0.526218294,0.497190961,0.79638891,0,1,1,0,0,0,0,13.49159977,55.2042763,-6.637295435
0.401661749,0,0,0.331852462,0.715549521,0.397803585,0.790407217,0,0,0,1,1,0,0,93.14562754,-36.6422977,16.0519778
0.535120354,0,0,0.312427038,0.579275791,0.32136412,0.748101748,0,1,1,0,0,1,1,39.48497869,83.21202021,-34.87055623
0.495555471,0,0,0.291605217,0.608163413,0.467347504,0.88010397,1,1,1,1,0,0,0,54.98663457,4.289849951,185.280982
0.553970154,0,0,0.337899164,0.541692734,0.388411045,0.822912903,1,1,1,0,0,0,0,9.726299865,-55.92719646,64.60435622
0.616193643,0,0,0.204147054,0.595730782,0.388839323,0.833641139,1,0,0,1,0,0,0,70.4877885,11.5333552,65.8168578
0.610399606,0,0,0.263344747,0.643884657,0.349702014,0.812698529,1,1,1,0,0,0,0,68.21212032,-1.119609027,-36.62210291
0.362333536,0,0,0.453380639,0.747632474,0.479074955,0.780588185,1,0,0,1,1,1,0,-5.010985532,-6.312881432,-12.10315159
0.54915616,0,0,0.358435053,0.541099866,0.481373287,0.855719106,0,0,0,1,1,0,0,-43.61796359,44.21866021,80.31764506
0.564510542,0,0,0.099314547,0.626689391,0.51357004,0.750346354,0,1,1,1,0,0,0,-10.19609233,-37.11816671,-40.71439554
0.658954409,0,0,0.332797508,0.532730005,0.524864271,0.77053458,0,0,0,1,0,0,1,-8.77200581,16.36255877,23.70250374
0.45977801,0,0,0.444432702,0.54388306,0.325346818,0.780946428,0,1,1,1,0,1,0,32.37512371,22.78829596,152.8869164
0.46364172,0,0,0.421956315,0.552582458,0.493300169,0.81165802,0,0,1,1,0,0,0,126.4779385,-22.42320542,-9.010799539
0.467569666,0,0,0.312221094,0.619098612,0.420445477,0.777637633,1,0,0,1,1,0,0,92.50154227,-26.70489771,131.2431336
