Length of Username,Country Block_1,Country Block_2,Number of Followers,Number of Posts,Number of Mutual Followers,Percentage of Following,Is Business Account,Sex,Is Joined Recently,Is Verified,Is Private,Is Professional Account,Length of Biography,Number of Video Posts,Mean Post Likes
0.617380382,0,0,0.529821527,0.450399916,0.681201064,0.423235368,0,1,1,0,1,0,35.39101134,73.89657569,90.28179038
0.474765685,0,0,0.555017431,0.413761636,0.595788788,0.616220252,0,1,1,1,1,1,-22.23888776,91.65149583,41.90917738
0.401697942,0,0,0.713445151,0.396458955,0.645689789,0.436808377,0,0,1,1,0,0,-71.8273438,114.8547652,84.90695599
0.5918693,0,0,0.469037908,0.494132493,0.664881572,0.546571703,0,1,1,0,0,0,-65.37584645,88.49887646,55.53270641
0.325445841,0,0,0.53146597,0.42191451,0.620085422,0.54664053,1,0,0,1,1,0,-44.37958982,116.3401006,177.5620618
0.544240703,0,0,0.615716015,0.464870948,0.609261909,0.467882855,1,1,0,0,0,1,46.03442385,68.8551535,-1.318186101
0.567049388,0,0,0.663586262,0.262995686,0.675805081,0.426915808,1,0,1,1,0,0,159.4104181,63.05032676,90.72584021
0.517262031,0,0,0.543262459,0.385064061,0.542076052,0.324951228,1,1,1,1,1,1,-25.82287756,124.0186616,12.001595
0.570851858,0,0,0.452051446,0.320207739,0.624832063,0.43269916,1,1,1,1,0,0,123.9234924,98.35892819,-82.59515112
0.373212178,0,0,0.568967981,0.428694398,0.695930552,0.632032488,1,0,1,1,0,1,-12.13717878,103.7065018,93.20001438
0.465305681,0,0,0.614776871,0.505969648,0.683563692,0.609093714,0,1,1,1,0,0,12.49568071,138.3766295,42.12804576
0.579602018,0,0,0.564315458,0.477792839,0.545693198,0.610702336,1,1,1,0,0,1,32.32528028,122.2385185,7.688536122
0.406993072,0,0,0.568498004,0.489073628,0.706567535,0.3587096,1,1,1,1,0,1,-30.15078653,-40.58299439,119.1414217
0.2878301,0,0,0.454048116,0.481060195,0.529632766,0.477816263,1,0,0,1,0,1,97.74221288,62.40927293,196.0928418
0.174485345,0,0,0.470857323,0.429230942,0.567575617,0.356800518,0,1,0,1,1,1,33.88905501,62.98103379,-24.14322953
0.451723622,0,0,0.541627301,0.49681355,0.744590001,0.431358454,0,1,0,1,1,1,-83.39997921,74.7917115,140.7715269
0.295440585,0,0,0.763427198,0.481845493,0.584118101,0.354349853,0,1,1,1,0,0,-73.46253906,88.95123991,20.49239483
0.341010617,0,0,0.558627579,0.438361552,0.542459407,0.359403969,1,0,1,1,0,0,94.47888012,69.8708632,-22.01280975
0.565691447,0,0,0.518882756,0.410210503,0.736554113,0.235503692,0,1,1,1,0,1,50.08811447,104.4666673,91.94631935
0.564112347,0,0,0.702194244,0.386975398,0.550040953,0.548581972,1,1,1,0,0,1,-77.63965829,53.73465876,37.02853064
0.279979602,0,0,0.475536522,0.461480109,0.649525869,0.598961812,0,1,0,0,0,1,227.292067,42.2895318,60.56781613
0.556353778,0,0,0.514411366,0.315267036,0.548002232,0.547212691,0,1,1,0,0,1,-4.253645695,142.7601105,64.97709562
0.560480296,0,0,0.516093181,0.365665754,0.733467802,0.472574647,1,0,1,1,0,1,-6.321368417,43.11876112,31.1952584
0.702413769,0,0,0.608358306,0.393039926,0.584176296,0.468065454,0,1,1,0,0,1,75.84222901,145.626749,151.7820523
0.257181252,0,0,0.552280152,0.345946361,0.680440249,0.681639608,0,0,0,1,0,0,-46.31050456,59.94378029,-25.72224875
0.427152037,0,0,0.587788787,0.348175133,0.68542404,0.412323906,1,1,1,0,0,1,61.40132704,2.429789735,77.9611619
0.412892287,0,0,0.510334473,0.446484634,0.553006635,0.75932381,0,0,0,1,0,1,88.17540973,38.6820528,40.03769679
0.372047812,0,0,0.465370113,0.411874658,0.680540329,0.486053967,0,1,1,0,0,1,64.54555095,39.54959356,96.74452339
0.436918823,0,0,0.52888452,0.45622643,0.603015196,0.568286982,1,0,1,1,0,1,-20.48730082,114.28561,-1.630685681
0.427718455,0,0,0.503811395,0.367795951,0.674889525,0.631581765,1,0,1,1,1,1,7.562976466,94.01538352,191.9795617
0.46105208,0,1,0.545700119,0.187550963,0.569796143,0.275915382,0,1,1,0,0,1,67.24384432,34.91655183,9.435556633
0.261487118,0,0,0.522883982,0.39455443,0.68529363,0.693656852,1,1,0,1,0,0,74.81481994,32.36825678,-3.879928205
0.354221398,0,0,0.531521301,0.467506394,0.762154013,0.552759101,1,0,0,1,1,0,-53.88795944,106.2183491,191.2483454
